pulsar_i,pulsar_j,angle_deg,hd_gamma,corr,sigma,n_overlap
J0614-3329,J1012-4235,46.76306795526734,0.023969904544300036,0.48850592688382033,0.203482542813955,17
J0614-3329,J1022+1001,73.33008518310714,-0.14069855445068957,-0.15407940280356713,0.6903197392574157,5
J0636+5128,J0645+5158,1.609157031512881,0.49742737373948775,0.44229764013796846,0.10384408163232339,63
J0636+5128,J0709+0458,47.009127904973504,0.021594924157413764,-0.3193148589817913,0.1872538717150596,26
J0636+5128,J0740+6620,16.927857494667283,0.37005626111584244,0.3014659603524766,0.121486039577317,59
J0636+5128,J0931-1902,80.24529995657767,-0.15124384995773865,-0.31444077693852374,0.1215079395955053,58
J0636+5128,J1012+5307,32.339192439315056,0.18318395523342945,0.15581224258416349,0.12196531813261173,67
J0636+5128,J1012-4235,105.09129662486177,-0.0940238200927106,-0.49869590373922623,0.16394762369570773,24
J0636+5128,J1022+1001,61.785748737921956,-0.09310697196462181,-0.011241587535391642,0.18567187124617013,32
J0645+5158,J0709+0458,47.234571409049,0.01943103204135449,-0.5948397631754551,0.15230270574341503,21
J0645+5158,J0740+6620,15.913320223652926,0.38153966212849155,0.3840347442816651,0.11937630177419073,54
J0645+5158,J0931-1902,79.61993451928616,-0.15082509757399243,-0.21507318882192583,0.12523265992727847,61
J0645+5158,J1012+5307,30.739324325677263,0.2025959162342022,0.4151957362408602,0.09084227368738951,86
J0645+5158,J1012-4235,104.5488207730334,-0.09654964722901749,-0.46595095296617756,0.18987864501109655,20
J0645+5158,J1022+1001,60.54908276072613,-0.08576012250647436,0.20533375023121248,0.1955178734342574,27
J0709+0458,J0740+6620,61.6094180784974,-0.09208575949123199,-0.19872170306116207,0.19606321838300775,27
J0709+0458,J0931-1902,42.45012065796774,0.06773114457258023,0.37799787142234376,0.2020245579132822,21
J0709+0458,J1012+5307,60.92957946283393,-0.08806643682892423,-0.1629156936344702,0.20298012389208855,26
J0709+0458,J1012-4235,63.07817156926954,-0.10032342690560359,-0.12008924687952695,0.3484546461038303,11
J0709+0458,J1022+1001,48.263639994215154,0.0097025515986216,-0.17972726300330594,0.2347012661816964,20
J0740+6620,J0931-1902,87.875588548948,-0.1482360632646772,-0.5860540574572156,0.09476347906033157,51
J0740+6620,J1012+5307,22.69716554222721,0.3014736297478464,-0.24163831274412814,0.12813701691524354,57
J0740+6620,J1012-4235,112.75395831815156,-0.05418966499986133,-0.14719727197014099,0.2305952908278989,21
